14211-01-02: Europawahl
Gebietsschlüssel;Gebietseinheit;Zeit;Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1);Europawahl 1)
;;;Wahlberechtigte;Wahlbeteiligung in %;Gültige Stimmen;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf;Von den gültigen Stimmen entfielen auf
;;;;;;SPD;CDU;GRÜNE;FDP;DIE LINKE 2);AfD;Sonstige
04;Land Bremen;2019-05-26;470210;63,0;292360;71566;64078;66390;13711;22844;22450;28355
04011;Stadt Bremen;2019-05-26;390038;65,2;251366;60790;55205;58947;11606;20056;17977;24420
0401111;Mitte (Stadtteil);2019-05-26;12654;69,6;8746;1504;1207;2941;409;1076;313;1210
0401112;Häfen (Stadtteil);2019-05-26;x;.;x;x;x;x;x;x;x;x
0401121;Neustadt (Stadtteil);2019-05-26;32428;70,9;22791;4525;2974;7278;848;2904;883;3064
0401123;Obervieland (Stadtteil);2019-05-26;25684;65,5;16570;4956;4532;2779;810;881;1314;1162
0401124;Huchting (Stadtteil);2019-05-26;19084;56,5;10606;3066;2590;1596;500;704;1179;866
0401125;Woltmershausen (Stadtteil);2019-05-26;9622;59,9;5678;1665;1119;1139;241;418;450;572
0401131;Östliche Vorstadt (Stadtteil);2019-05-26;23068;78,4;17959;3295;1952;6875;448;2541;500;2200
0401132;Schwachhausen (Stadtteil);2019-05-26;30680;80,8;24625;4575;6317;7923;1409;1435;808;1991
0401133;Vahr (Stadtteil);2019-05-26;17607;53,6;9257;2719;1987;1428;374;686;1015;914
0401134;Horn-Lehe (Stadtteil);2019-05-26;19518;73,3;14154;2927;3802;3702;829;811;705;1274
0401136;Oberneuland (Stadtteil);2019-05-26;10284;77,6;7924;1270;3489;1486;620;199;440;395
0401137;Osterholz (Stadtteil);2019-05-26;24424;52,2;12518;3801;3044;1723;573;878;1389;1004
0401138;Hemelingen (Stadtteil);2019-05-26;28728;63,0;17830;4722;4009;3463;830;1343;1501;1759
0401142;Findorff (Stadtteil);2019-05-26;20222;73,0;14646;3432;2466;4379;560;1377;671;1610
0401143;Walle (Stadtteil);2019-05-26;19983;62,0;12226;3040;1883;2831;476;1396;931;1529
0401144;Gröpelingen (Stadtteil);2019-05-26;19072;48,8;9159;3081;1557;1132;323;862;1045;1050
0401151;Burglesum (Stadtteil);2019-05-26;24050;61,7;14576;3922;3591;2671;763;867;1481;1177
0401152;Vegesack (Stadtteil);2019-05-26;23267;60,4;13831;3802;3355;2456;653;855;1420;1177
0401153;Blumenthal (Stadtteil);2019-05-26;21389;54,9;11535;3264;2856;1530;500;612;1598;1065
04012;Stadt Bremerhaven;2019-05-26;80172;52,1;40994;10776;8873;7443;2105;2788;4473;3935

1) Bis 2004: PDS.


© Statistisches Landesamt Bremen 
