13211-44-05: Arbeitslose nach ausgewählten Personengruppen und Arbeitslosenziffer (Quartalszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Arbeitslosenziffer (in %)
04;Land Bremen;2023-06-30;.
04;Land Bremen;2023-03-31;.
04;Land Bremen;2022-12-31;.
04;Land Bremen;2022-09-30;12,7
04;Land Bremen;2022-06-30;12,2
04;Land Bremen;2022-03-31;12,4
04;Land Bremen;2021-12-31;12,2
04;Land Bremen;2021-09-30;12,7
04;Land Bremen;2021-06-30;13,3
04;Land Bremen;2021-03-31;14,1
04;Land Bremen;2020-12-31;13,9
04;Land Bremen;2020-09-30;14,6
04011;Stadt Bremen;2023-06-30;.
04011;Stadt Bremen;2023-03-31;.
04011;Stadt Bremen;2022-12-31;.
04011;Stadt Bremen;2022-09-30;12,0
04011;Stadt Bremen;2022-06-30;11,4
04011;Stadt Bremen;2022-03-31;11,8
04011;Stadt Bremen;2021-12-31;11,6
04011;Stadt Bremen;2021-09-30;12,2
04011;Stadt Bremen;2021-06-30;12,7
04011;Stadt Bremen;2021-03-31;13,6
04011;Stadt Bremen;2020-12-31;13,5
04011;Stadt Bremen;2020-09-30;14,0
0401111;Mitte (Stadtteil);2023-06-30;.
0401111;Mitte (Stadtteil);2023-03-31;.
0401111;Mitte (Stadtteil);2022-12-31;.
0401111;Mitte (Stadtteil);2022-09-30;12,0
0401111;Mitte (Stadtteil);2022-06-30;11,1
0401111;Mitte (Stadtteil);2022-03-31;11,1
0401111;Mitte (Stadtteil);2021-12-31;11,4
0401111;Mitte (Stadtteil);2021-09-30;11,9
0401111;Mitte (Stadtteil);2021-06-30;13,1
0401111;Mitte (Stadtteil);2021-03-31;13,9
0401111;Mitte (Stadtteil);2020-12-31;13,6
0401111;Mitte (Stadtteil);2020-09-30;15,0
0401112;Häfen (Stadtteil);2023-06-30;x
0401112;Häfen (Stadtteil);2023-03-31;x
0401112;Häfen (Stadtteil);2022-12-31;x
