22811-44-00: Bedarfsgemeinschaften, Leistungsberechtigte und Leistungen (SGB II, Quartalszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Grundsicherung für Arbeitsuchende (SGB II) 1);Grundsicherung für Arbeitsuchende (SGB II) 1);Grundsicherung für Arbeitsuchende (SGB II) 1)
;;;davon:;davon:;SGB II-Leistungen insgesamt in EUR
;;;darunter:;darunter:
;;;erwerbsfähige Leistungsberechtigte;nichterwerbsfähige
Leistungsberechtigte
;;;insgesamt
04011;Stadt Bremen;2023-06-30;53446;23127;49723362
04011;Stadt Bremen;2023-03-31;53356;23227;49508020
04011;Stadt Bremen;2022-12-31;52496;23159;45467467
04011;Stadt Bremen;2022-09-30;53555;23497;46087297
04011;Stadt Bremen;2022-06-30;53508;23306;45168615
04011;Stadt Bremen;2022-03-31;51011;21954;42521042
04011;Stadt Bremen;2021-12-31;51309;22278;42236366
04011;Stadt Bremen;2021-09-30;52872;22593;43348559
04011;Stadt Bremen;2021-06-30;55107;23119;45081297
04011;Stadt Bremen;2021-03-31;55803;23214;45866257
04011;Stadt Bremen;2020-12-31;54907;23445;43680011
04011;Stadt Bremen;2020-09-30;56028;23730;44306407
0401111;Mitte (Stadtteil);2023-06-30;1999;501;1997492
0401111;Mitte (Stadtteil);2023-03-31;1978;503;1997082
0401111;Mitte (Stadtteil);2022-12-31;1868;471;1793146
0401111;Mitte (Stadtteil);2022-09-30;1845;505;1755192
0401111;Mitte (Stadtteil);2022-06-30;1791;457;1698820
0401111;Mitte (Stadtteil);2022-03-31;1669;375;1516090
0401111;Mitte (Stadtteil);2021-12-31;1681;391;1521041
0401111;Mitte (Stadtteil);2021-09-30;1798;401;1626079
0401111;Mitte (Stadtteil);2021-06-30;1950;423;1744019
0401111;Mitte (Stadtteil);2021-03-31;1982;419;1782641
0401111;Mitte (Stadtteil);2020-12-31;1926;416;1658966
0401111;Mitte (Stadtteil);2020-09-30;1994;434;1708076
0401112;Häfen (Stadtteil);2023-06-30;.;.;.
0401112;Häfen (Stadtteil);2023-03-31;.;.;.
0401112;Häfen (Stadtteil);2022-12-31;.;.;.
0401112;Häfen (Stadtteil);2022-09-30;.;.;.
0401112;Häfen (Stadtteil);2022-06-30;.;.;.
0401112;Häfen (Stadtteil);2022-03-31;.;.;.
0401112;Häfen (Stadtteil);2021-12-31;.;.;.
0401112;Häfen (Stadtteil);2021-09-30;.;.;.
0401112;Häfen (Stadtteil);2021-06-30;.;.;.
0401112;Häfen (Stadtteil);2021-03-31;.;.;.
0401112;Häfen (Stadtteil);2020-12-31;.;.;.
0401112;Häfen (Stadtteil);2020-09-30;.;.;.
