train_r2_step,epoch,step,valid_loss,valid_r2,train_loss,train_r2_epoch,test_loss,test_r2
0.3646100163459778,0,49,,,,,,
,0,66,0.6988348364830017,0.3367716073989868,,,,
,0,66,,,0.5653074979782104,0.40285781025886536,,
0.4673725962638855,1,99,,,,,,
,1,133,0.6715957522392273,0.3626229166984558,,,,
,1,133,,,0.4836908280849457,0.49048912525177,,
0.26268213987350464,2,149,,,,,,
0.45907074213027954,2,199,,,,,,
,2,200,0.6568665504455566,0.37660157680511475,,,,
,2,200,,,0.46309223771095276,0.5135205984115601,,
0.38563328981399536,3,249,,,,,,
,3,267,0.6494799852371216,0.38361185789108276,,,,
,3,267,,,0.4523884356021881,0.5244420766830444,,
0.4294956922531128,4,299,,,,,,
,4,334,0.6432250142097473,0.38954806327819824,,,,
,4,334,,,0.4458589255809784,0.5312942862510681,,
0.6285369396209717,5,349,,,,,,
0.6611396670341492,5,399,,,,,,
,5,401,0.6393164992332458,0.3932574391365051,,,,
,5,401,,,0.4412713050842285,0.5384044647216797,,
0.4753796458244324,6,449,,,,,,
,6,468,0.6373283863067627,0.3951442837715149,,,,
,6,468,,,0.43825966119766235,0.5391752123832703,,
0.5508507490158081,7,499,,,,,,
,7,535,0.6352406144142151,0.3971256613731384,,,,
,7,535,,,0.4358570873737335,0.5452232360839844,,
0.5169892311096191,8,549,,,,,,
0.4273455739021301,8,599,,,,,,
,8,602,0.6327444911003113,0.39949458837509155,,,,
,8,602,,,0.4344678521156311,0.5372760891914368,,
0.5053037405014038,9,649,,,,,,
,9,669,0.6335030198097229,0.39877474308013916,,,,
,9,669,,,0.43331432342529297,0.5420464873313904,,
0.5623885989189148,10,699,,,,,,
,10,736,0.6327245235443115,0.3995135426521301,,,,
,10,736,,,0.4323180019855499,0.5444076657295227,,
0.669837236404419,11,749,,,,,,
0.6221299767494202,11,799,,,,,,
,11,803,0.6319425702095032,0.40025562047958374,,,,
,11,803,,,0.4315115213394165,0.5464900135993958,,
0.626380443572998,12,849,,,,,,
,12,870,0.632351815700531,0.39986729621887207,,,,
,12,870,,,0.4310952126979828,0.5458910465240479,,
0.35077786445617676,13,899,,,,,,
,13,937,0.6314437985420227,0.40072906017303467,,,,
,13,937,,,0.43044424057006836,0.5526068806648254,,
0.6656993627548218,14,949,,,,,,
0.5605347156524658,14,999,,,,,,
,14,1004,0.630188524723053,0.4019203186035156,,,,
,14,1004,,,0.43016472458839417,0.5532962083816528,,
0.6266767978668213,15,1049,,,,,,
,15,1071,0.6310358047485352,0.4011162519454956,,,,
,15,1071,,,0.43005260825157166,0.5497786402702332,,
0.7129626274108887,16,1099,,,,,,
,16,1138,0.6324278116226196,0.3997952342033386,,,,
,16,1138,,,0.4295593500137329,0.5450994372367859,,
0.5298322439193726,17,1149,,,,,,
0.5528711080551147,17,1199,,,,,,
,17,1205,0.6322515606880188,0.3999624252319336,,,,
,17,1205,,,0.42939522862434387,0.5450531840324402,,
0.712276041507721,18,1249,,,,,,
,18,1272,0.6323264241218567,0.39989137649536133,,,,
,18,1272,,,0.4291931688785553,0.5462541580200195,,
0.43472176790237427,19,1299,,,,,,
,19,1339,0.6310909986495972,0.40106385946273804,,,,
,19,1339,,,0.4290764629840851,0.5513214468955994,,
0.3410913944244385,20,1349,,,,,,
0.594720721244812,20,1399,,,,,,
,20,1406,0.629419207572937,0.4026504158973694,,,,
,20,1406,,,0.4289199709892273,0.5465320348739624,,
0.44696301221847534,21,1449,,,,,,
,21,1473,0.6292657256126404,0.4027961492538452,,,,
,21,1473,,,0.42852842807769775,0.5479361414909363,,
0.5608327388763428,22,1499,,,,,,
,22,1540,0.6309753656387329,0.40117359161376953,,,,
,22,1540,,,0.4284687042236328,0.5485343933105469,,
0.44229018688201904,23,1549,,,,,,
0.48542606830596924,23,1599,,,,,,
,23,1607,0.6292406916618347,0.40281981229782104,,,,
,23,1607,,,0.42833834886550903,0.5402531027793884,,
0.4697415828704834,24,1649,,,,,,
,24,1674,0.6290755271911621,0.4029765725135803,,,,
,24,1674,,,0.4281511902809143,0.5469569563865662,,
